tweet,task,preprocessed,gpe_count,org_count,sentence_count,pos_tagged,noun
@USER Who will abuse it the most: liberals or RINOS?,OFF,user who will abuse it the most: liberals or rinos ?,0.0,0.11764705882352941,0.0625,user_NOUN abuse_VERB liberal_NOUN rino_NOUN,user liberal rino
@USER @USER But we can do better. As evidenced by the Giffords Law Center study on Gun Control versus Gun Deaths. URL URL,NOT,user but we can do better. as evidenced by the giffords law center study on gun control versus gun deaths. url url,0.0,0.11764705882352941,0.1875,user_NOUN well_ADV evidence_VERB gifford_NOUN law_NOUN center_NOUN study_NOUN gun_NOUN control_NOUN versus_ADP gun_NOUN death_NOUN url_PROPN url_PROPN,user gifford law center study gun control gun death url url
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER This is the VetsResistSquadron"" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""",NOT,"user this is the vetsresistsquadron"" is bullshit.. they are girl scout veterans, i have never met any other veterans or served with anyone that was a gun control advocate ? have you ?""",0.0,0.0,0.1875,user_NOUN vetsresistsquadron_NOUN bullshit_ADJ girl_NOUN scout_NOUN veteran_NOUN meet_VERB veteran_NOUN serve_VERB gun_NOUN control_NOUN advocate_NOUN,user vetsresistsquadron girl scout veteran veteran gun control advocate
@USER Great stalk..hunters like yourself and your wife are the reason why these animals exist so these crazy liberals have something to complain about.,OFF,user great stalk..hunters like yourself and your wife are the reason why these animals exist so these crazy liberals have something to complain about.,0.0,0.058823529411764705,0.0625,user_PROPN great_PROPN stalk_NOUN hunter_NOUN like_ADP wife_NOUN reason_NOUN animal_NOUN exist_VERB crazy_ADJ liberal_NOUN complain_VERB,user great stalk hunter wife reason animal liberal
@USER HE IS IM SO PROUD OF HIM,NOT,user he is im so proud of him,0.0,0.0,0.125,user_NOUN m_VERB proud_ADJ,user
@USER @USER Betty I think women have been handed a character assassination  bomb to destroy MEN by the liberals and the FEMINISTS. I would hate to know these women represent  ME. WHY WAIT ALL THESE YEARS TO REPORT...,OFF,user betty i think women have been handed a character assassination bomb to destroy men by the liberals and the feminists. i would hate to know these women represent me. why wait all these years to report...,0.0,0.058823529411764705,0.1875,user_PROPN betty_PROPN think_VERB woman_NOUN hand_VERB character_NOUN assassination_NOUN bomb_NOUN destroy_VERB man_NOUN liberal_NOUN feminist_NOUN hate_VERB know_VERB woman_NOUN represent_VERB wait_VERB year_NOUN report_VERB,user betty woman character assassination bomb man liberal feminist woman year
@USER Unless he is like that old skin bag Cher.  She just coming back and coming back. #stretchedface,OFF,user unless he is like that old skin bag cher. she just coming back and coming back. stretchedface,0.0,0.058823529411764705,0.1875,user_NOUN like_ADP old_ADJ skin_NOUN bag_NOUN cher_NOUN come_VERB come_VERB stretchedface_NOUN,user skin bag cher stretchedface
13 teachers and students blasted in Wisconsin with 12-gauge Winchester 1300 pump-action shotgun. The NRA blames gun control laws.,NOT,13 teachers and students blasted in wisconsin with 12-gauge winchester 1300 pump-action shotgun. the nra blames gun control laws.,0.4,0.0,0.125,13_NUM teacher_NOUN student_NOUN blast_VERB wisconsin_NOUN 12_NUM gauge_NOUN winchester_NOUN 1300_NUM pump_NOUN action_NOUN shotgun_NOUN nra_NOUN blame_VERB gun_NOUN control_NOUN law_NOUN,teacher student wisconsin gauge winchester pump action shotgun nra gun control law
7 hospital personnel shot dead in Wisconsin with 20-gauge Winchester pump-action shotgun. The NRA blames gun control laws.,OFF,7 hospital personnel shot dead in wisconsin with 20-gauge winchester pump-action shotgun. the nra blames gun control laws.,0.4,0.0,0.125,7_NUM hospital_NOUN personnel_NOUN shoot_VERB dead_ADJ wisconsin_NOUN 20_NUM gauge_NOUN winchester_NOUN pump_NOUN action_NOUN shotgun_NOUN nra_NOUN blame_VERB gun_NOUN control_NOUN law_NOUN,hospital personnel wisconsin gauge winchester pump action shotgun nra gun control law
@USER She is THE best #facts,NOT,user she is the best facts,0.0,0.058823529411764705,0.0625,user_NOUN good_ADJ fact_NOUN,user fact
@USER Hope they bankrupt soon,OFF,user hope they bankrupt soon,0.0,0.058823529411764705,0.0625,user_PROPN hope_VERB bankrupt_VERB soon_ADV,user
@USER But he is still our best option,NOT,user but he is still our best option,0.0,0.058823529411764705,0.0625,user_NOUN good_ADJ option_NOUN,user option
@USER @USER I think we should. But no I don’t think most American do. We divide ourselves in groups along social issues(Conservatives or liberal). Probably because we don’t have a labor party. Or a party that truly cloaks itself in labor identity.,NOT,user i think we should. but no i don’t think most american do. we divide ourselves in groups along social issues(conservatives or liberal). probably because we don’t have a labor party. or a party that truly cloaks itself in labor identity.,0.0,0.0,0.3125,user_NOUN think_VERB think_VERB american_ADJ divide_VERB group_NOUN social_ADJ issues(conservative_NOUN liberal_ADJ probably_ADV labor_NOUN party_NOUN party_NOUN truly_ADV cloak_VERB labor_NOUN identity_NOUN,user group issues(conservative labor party party labor identity
@USER @USER When he's not imparting these gems Michael Moore is stuffing his face.,OFF,user when he's not imparting these gems michael moore is stuffing his face.,0.0,0.0,0.0625,user_NOUN impart_VERB gem_NOUN michael_PROPN moore_PROPN stuff_VERB face_NOUN,user gem michael moore face
